Unnamed: 0,App,Category,Type,Price,Content Rating,Genres,Last Updated,Current Ver,Android Ver,Rating_normalized,Reviews_normalized,Size_normalized,Installs_normalized,Price_normalized,Current Ver_normalized,Android Ver_normalized,Weighted_Rating,Log_Installs,Category_Avg_Rating,PC1,PC2,PC1_Category,Installs,Installs_Category,average_rating_all,average_rating_sports
0.0,photo editor & candi camera & grid & scrapbook,art_and_design,free,0,everyon,art & design,7-Jan-18,1.0.0,4.0.3 and up,0.172,2e-06,0.182,1e-05,0.0,0.0,0.429,651.9,9.210440366976517,4.350461768401344,-0.6072582472953658,0.6592926213839542,2.0,10000.0,2,4.193338315362443,4.230763657956613
1.0,color book moana,art_and_design,free,0,everyon,art & design;pretend play,15-Jan-18,2.0.0,4.0.3 and up,0.161,1.2e-05,0.131,0.0005,0.0,0.0,0.429,3771.2999999999997,13.122365377402328,4.350461768401344,0.13134537086319045,0.9902183917492745,1.0,500000.0,3,4.193338315362443,4.230763657956613
4.0,pixel draw - number art color book,art_and_design,free,0,everyon,art & design;cr,20-Jun-18,1.1,4.4 and up,0.183,1.2e-05,0.018,0.0001,0.0,0.0,0.429,4158.099999999999,11.51293546492023,4.350461768401344,-0.5568738627385387,1.4574238953461645,2.0,100000.0,0,4.193338315362443,4.230763657956613
5.0,paper flower instruct,art_and_design,free,0,everyon,art & design,26-Mar-17,1,2.3 and up,0.189,2e-06,0.046,5e-05,0.0,0.0,0.143,734.8000000000001,10.819798284210286,4.350461768401344,2.813308573649464,0.6514788750165449,0.0,50000.0,0,4.193338315362443,4.230763657956613
6.0,smoke effect photo maker - smoke editor,art_and_design,free,0,everyon,art & design,26-Apr-18,1.1,4.0.3 and up,0.156,2e-06,0.182,5e-05,0.0,0.0,0.429,676.4,10.819798284210286,4.350461768401344,2.020399611060636,0.25247298933206375,1.0,50000.0,0,4.193338315362443,4.230763657956613
7.0,infinit painter,art_and_design,free,0,everyon,art & design,14-Jun-18,6.1.61.1,4.2 and up,0.172,0.000471,0.283,0.001,0.0,0.0,0.429,150941.5,13.815511557963774,4.350461768401344,-0.9743082411371274,-1.5481580064055638,2.0,1000000.0,3,4.193338315362443,4.230763657956613
8.0,garden color book,art_and_design,free,0,everyon,art & design,20-Sep-17,2.9.2,3.0 and up,0.189,0.000176,0.323,0.001,0.0,0.0,0.286,60680.4,13.815511557963774,4.350461768401344,1.8967252245633321,0.05935347226380544,1.0,1000000.0,3,4.193338315362443,4.230763657956613
9.0,kid paint free - draw fun,art_and_design,free,0,everyon,art & design;cr,3-Jul-18,2.8,4.0.3 and up,0.206,2e-06,0.021,1e-05,0.0,0.0,0.429,568.7,9.210440366976517,4.350461768401344,1.2874818450812893,-0.5012655921336074,1.0,10000.0,2,4.193338315362443,4.230763657956613
10.0,text photo - fontee,art_and_design,free,0,everyon,art & design,27-Oct-17,1.0.4,4.1 and up,0.189,0.000178,0.273,0.001,0.0,0.0,0.429,61072.00000000001,13.815511557963774,4.350461768401344,-0.20292011494437281,-0.6390237123785649,2.0,1000000.0,3,4.193338315362443,4.230763657956613
11.0,name art photo editor - focu n filter,art_and_design,free,0,everyon,art & design,31-Jul-18,1.0.15,4.0 and up,0.189,0.000112,0.111,0.001,0.0,0.0,0.429,38667.200000000004,13.815511557963774,4.350461768401344,0.07966095963608558,0.53812977879441,1.0,1000000.0,3,4.193338315362443,4.230763657956613
13.0,mandala color book,art_and_design,free,0,everyon,art & design,26-Jun-18,1.0.4,4.4 and up,0.2,5.5e-05,0.202,0.0001,0.0,0.0,0.429,19899.6,11.51293546492023,4.350461768401344,-0.6373954613418864,-0.4806707303921358,2.0,100000.0,0,4.193338315362443,4.230763657956613
14.0,3d color pixel number - sandbox art color,art_and_design,free,0,everyon,art & design,3-Aug-18,1.2.3,2.3 and up,0.189,1.9e-05,0.364,0.0001,0.0,0.0,0.143,6679.200000000001,11.51293546492023,4.350461768401344,-0.5738883304313036,0.7300455334961317,2.0,100000.0,0,4.193338315362443,4.230763657956613
